time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
1409.078006	124.355515	0.035935	3.460586	128
1410.118685	133.059387	0.035936	3.702726	129
1411.199696	73.366760	0.035935	2.041671	130
1412.198507	130.835800	0.035936	3.640835	131
281474976.710655	NaN	0.035936	NaN	132
281474976.710655	NaN	0.035936	NaN	133
1415.317973	135.986389	0.035935	3.784227	134
1416.355860	143.075500	0.035934	3.981605	135
1417.402137	138.728485	0.035934	3.860598	136
1418.449327	131.916946	0.035935	3.671019	137
1419.502778	120.529678	0.035935	3.354129	138
1420.497393	165.992554	0.035936	4.619108	139
1421.566277	140.957230	0.035933	3.922733	140
1422.531449	156.959854	0.035937	4.367608	141
1423.655804	132.544327	0.035939	3.688010	142
1424.721666	111.266350	0.035934	3.096387	143
1425.739136	134.139465	0.035933	3.733023	144
1426.818072	93.056061	0.035935	2.589561	145
1427.908942	44.683609	0.035935	1.243464	146
1428.866004	135.639420	0.035936	3.774430	147
1429.901586	138.538971	0.035934	3.855401	148
1430.958845	122.797081	0.035937	3.417005	149
1432.000417	121.107613	0.035934	3.370279	150
1433.020078	150.119156	0.035934	4.177668	151
1434.031453	179.012238	0.035939	4.981040	152
1435.115077	132.355927	0.035936	3.683134	153
1436.153777	134.361694	0.035939	3.738606	154
1437.202816	130.528671	0.035933	3.632533	155
1438.236254	133.328659	0.035934	3.710341	156
1439.283703	131.580994	0.035935	3.661673	157
1440.322992	131.980469	0.035935	3.672769	158
1441.382046	113.197762	0.035934	3.150147	159
1442.404949	133.795029	0.035935	3.723257	160
1443.450325	129.580536	0.035935	3.605931	161
1444.502550	117.182335	0.035937	3.260805	162
1445.531856	131.372604	0.035937	3.655602	163
1446.585196	117.486977	0.035934	3.269540	164
1447.656196	91.139351	0.035934	2.536298	165
1448.653629	135.052612	0.035935	3.758210	166
1449.660711	177.389343	0.035935	4.936412	167
1450.757082	109.754555	0.035934	3.054377	168
1451.870790	28.485058	0.035938	0.792622	169
1452.820950	131.615128	0.035939	3.662194	170
1453.866982	132.327621	0.035934	3.682492	171
1454.899636	135.558472	0.035940	3.771763	172
1455.950409	132.258575	0.035940	3.679935	173
1456.985437	129.166656	0.035938	3.594167	174
1458.037303	127.983147	0.035935	3.561528	175
1459.069962	128.291748	0.035939	3.569690	176
1459.986477	90.286247	0.035934	2.512558	177
1461.154101	126.114975	0.035936	3.509453	178
1462.197762	136.834946	0.035934	3.807915	179
1463.240414	121.457214	0.035939	3.379527	180
1464.284400	130.664948	0.035937	3.635977	181
1465.318481	131.187729	0.035938	3.650433	182
1466.322215	189.792725	0.035934	5.281693	183
1467.405769	125.264252	0.035936	3.485764	184
1468.451839	128.280045	0.035934	3.569851	185
1469.524970	79.588242	0.035938	2.214623	186
1470.535201	127.424370	0.035937	3.545768	187
1471.566365	131.626999	0.035934	3.662975	188
1472.607652	142.393906	0.035937	3.962327	189
1473.644560	140.286591	0.035935	3.903883	190
1474.697089	132.724899	0.035938	3.693114	191
1475.751072	108.307556	0.035935	3.014013	192
1476.864739	57.856190	0.035935	1.610027	193
1477.834457	168.256424	0.035936	4.682110	194
1478.881811	108.514900	0.035937	3.019549	195
1479.915117	110.168343	0.035937	3.065620	196
1480.949108	130.284271	0.035937	3.625373	197
1481.989846	120.135422	0.035938	3.342869	198
1483.035434	125.339844	0.035936	3.487837	199
1484.082375	108.346352	0.035935	3.015039	200
1485.118912	122.753792	0.035936	3.415902	201
1486.151948	124.404480	0.035938	3.461635	202
1487.203594	122.540627	0.035935	3.410088	203
1488.248466	106.137703	0.035934	2.953695	204
1489.260059	165.974380	0.035939	4.618201	205
1490.340247	93.645561	0.035937	2.605857	206
1491.369480	123.159218	0.035934	3.427386	207
1492.400623	125.235741	0.035932	3.485357	208
1493.449082	128.024765	0.035933	3.562894	209
1494.482635	126.011299	0.035935	3.506659	210
1495.541681	114.943520	0.035935	3.198647	211
1496.568802	124.132782	0.035935	3.454371	212
1497.615307	125.299034	0.035938	3.486531	213
