num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
6807	7668.830225	50.884099	14.770146	-0.348192	12.369207
6809	7670.909439	50.541699	14.741628	-0.338734	10.200831
6811	7672.997844	49.950112	14.558361	-0.336312	11.000085
6813	7675.098585	49.705041	14.358511	-0.351934	10.351901
6815	7677.195916	50.276412	14.488935	-0.369489	10.553742
6817	7679.278497	51.022447	14.732688	-0.360467	11.581159
6819	7681.344676	51.078235	14.761731	-0.332030	11.810271
6821	7683.417732	50.144332	14.512803	-0.313949	10.871048
6823	7685.512767	49.427466	14.200434	-0.329266	10.483020
6825	7687.617307	49.598985	14.261196	-0.352124	10.108954
6827	7689.705175	50.580403	14.529496	-0.351444	10.768695
6829	7691.777557	50.683481	14.519942	-0.333961	11.566900
6831	7693.847923	50.402581	14.470269	-0.315911	11.017915
6833	7695.924054	49.993573	14.344392	-0.304728	11.142467
6835	7698.012086	49.589081	14.247387	-0.311538	10.815697
6837	7700.100415	49.353813	14.170350	-0.312263	10.233704
6841	7704.281992	49.626567	14.118086	-0.316526	9.765533
6843	7706.365651	49.638072	14.077439	-0.315701	10.024355
6845	7708.449408	49.704182	14.037273	-0.312958	9.819573
6847	7710.530028	50.188503	14.240149	-0.313687	9.593237
6849	7712.605662	52.532882	14.156306	-0.367194	10.080246
6851	7714.686860	49.730061	14.568029	-0.306314	10.287967
6853	7716.769184	51.883254	13.857024	-0.374506	10.899396
6855	7718.863609	50.058379	13.992059	-0.312494	10.768975
6857	7720.962921	51.883638	13.885132	-0.360998	11.788134
6859	7723.060259	50.410447	13.979480	-0.301976	11.796024
6861	7725.142606	48.311845	11.589621	-0.316348	10.544502
6863	7727.210831	52.894369	13.454273	-0.360234	9.879524
6865	7729.279761	52.639103	13.821523	-0.366800	10.568823
6867	7731.363290	52.077549	13.720843	-0.365200	10.733605
6869	7733.464005	52.075275	13.880479	-0.352339	12.098715
6871	7735.563315	52.474695	13.725287	-0.343400	11.611571
6873	7737.652315	52.608927	13.347960	-0.342642	11.463934
6875	7739.734538	53.116484	13.302594	-0.350251	10.718842
6877	7741.805298	53.387021	13.300465	-0.357760	9.955929
6879	7743.881259	52.792545	13.242747	-0.348615	10.098708
6881	7745.960099	52.576117	13.572844	-0.336341	9.922245
6883	7748.040570	50.155192	12.845059	-0.277244	10.354698
6885	7750.126848	49.647487	13.263066	-0.281976	10.590704
6887	7752.211619	51.905873	13.044444	-0.337252	10.091357
6889	7754.301486	52.336078	13.094691	-0.336461	10.773009
6891	7756.396047	52.136220	12.848106	-0.344162	10.295796
6893	7758.491225	52.242873	12.744255	-0.350821	10.288078
6895	7760.582886	52.859251	13.087229	-0.349382	11.245082
6897	7762.666648	52.845439	13.020404	-0.338787	11.049020
6899	7764.740229	52.248007	13.123350	-0.332383	11.249194
6901	7766.814034	52.620247	13.114456	-0.325530	12.059381
6903	7768.888302	50.994177	12.340266	-0.271796	11.318505
6905	7770.972905	51.851747	12.849299	-0.315831	10.865838
6907	7773.068228	49.697602	12.349373	-0.270492	11.185753
6909	7775.167862	52.453140	12.353478	-0.340525	10.735856
6911	7777.260928	53.192796	12.437348	-0.337258	11.400480
6913	7779.341892	51.257321	12.768997	-0.270489	11.155492
6915	7781.422674	52.515638	12.703351	-0.315096	11.329582
6917	7783.500944	52.248222	12.901239	-0.310268	12.196221
6919	7785.579834	51.914072	12.439900	-0.311380	11.757220
6921	7787.662610	52.926237	12.397969	-0.312390	11.984497
6923	7789.747380	49.762968	12.079197	-0.248826	12.055098
6925	7791.831878	49.558785	12.120622	-0.247619	11.760778
6927	7793.920796	49.550929	12.100560	-0.245710	12.153407
6929	7796.011065	49.396310	12.051985	-0.240873	12.328600
6931	7798.102275	49.236879	12.055129	-0.234877	12.015714
6933	7800.189940	49.181818	12.013659	-0.229586	12.057540
6935	7802.275802	49.492303	11.948173	-0.226554	11.722724
6939	7806.420314	49.891894	11.809316	-0.245497	10.543471
6941	7808.494221	49.295430	11.808121	-0.250273	10.226541
6943	7810.578622	48.889606	11.812438	-0.246968	10.747300
