crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.621479	3254	4214906880.000000
281474976710655.000000	2.607843	3255	4215958528.000000
281474976710655.000000	2.663091	3256	4216985088.000000
281474976710655.000000	2.657287	3257	4218047488.000000
281474976710655.000000	2.707327	3258	4219070720.000000
281474976710655.000000	2.732941	3259	4220127232.000000
281474976710655.000000	2.793480	3260	4221150464.000000
281474976710655.000000	2.665769	3261	4222211328.000000
281474976710655.000000	2.695976	3262	4223231232.000000
281474976710655.000000	2.688792	3263	4224290048.000000
281474976710655.000000	2.684278	3264	4225315840.000000
281474976710655.000000	2.824929	3265	4226379008.000000
281474976710655.000000	2.770921	3266	4227401216.000000
281474976710655.000000	2.754676	3267	4228455424.000000
281474976710655.000000	2.708245	3268	4229481728.000000
281474976710655.000000	2.868979	3269	4230535424.000000
281474976710655.000000	2.802195	3270	4231570432.000000
281474976710655.000000	2.790004	3271	4232612864.000000
281474976710655.000000	2.781652	3272	4233653760.000000
281474976710655.000000	2.834236	3273	4234699776.000000
281474976710655.000000	2.950186	3274	4235732992.000000
281474976710655.000000	2.790328	3275	4236785152.000000
281474976710655.000000	2.870921	3276	4237810432.000000
281474976710655.000000	2.864466	3277	4238870272.000000
281474976710655.000000	2.859392	3278	4239890688.000000
281474976710655.000000	2.951749	3279	4240951296.000000
281474976710655.000000	2.849078	3280	4241980416.000000
281474976710655.000000	2.888965	3281	4243027968.000000
281474976710655.000000	2.862878	3282	4244062720.000000
281474976710655.000000	2.927389	3283	4245107456.000000
281474976710655.000000	3.006348	3284	4246147584.000000
281474976710655.000000	2.888423	3285	4247198208.000000
281474976710655.000000	2.964118	3286	4248225792.000000
281474976710655.000000	2.895323	3287	4249277696.000000
281474976710655.000000	2.959560	3288	4250302208.000000
281474976710655.000000	2.982328	3289	4251366656.000000
281474976710655.000000	2.970350	3290	4252390400.000000
281474976710655.000000	3.021740	3291	4253448192.000000
281474976710655.000000	2.987445	3292	4254469120.000000
281474976710655.000000	3.057437	3293	4255525888.000000
281474976710655.000000	3.017776	3294	4256553728.000000
281474976710655.000000	3.064311	3295	4257612544.000000
281474976710655.000000	2.998186	3296	4258636800.000000
281474976710655.000000	3.115116	3297	4259691776.000000
281474976710655.000000	3.059879	3298	4260721920.000000
281474976710655.000000	3.136313	3299	4261775360.000000
281474976710655.000000	3.064611	3300	4262799104.000000
281474976710655.000000	3.111789	3301	4263859456.000000
281474976710655.000000	3.058548	3302	4264883456.000000
281474976710655.000000	3.103858	3303	4265942272.000000
281474976710655.000000	3.103880	3304	4266965760.000000
281474976710655.000000	3.084944	3305	4268022784.000000
281474976710655.000000	3.102210	3306	4269045760.000000
281474976710655.000000	3.066842	3307	4270101504.000000
281474976710655.000000	3.162662	3308	4271134464.000000
281474976710655.000000	3.165907	3309	4272183296.000000
281474976710655.000000	3.214655	3310	4273217280.000000
281474976710655.000000	3.147198	3311	4274262528.000000
281474976710655.000000	3.131277	3312	4275302656.000000
281474976710655.000000	3.175392	3313	4276348160.000000
281474976710655.000000	3.202731	3314	4277379328.000000
281474976710655.000000	3.222334	3315	4278433536.000000
281474976710655.000000	3.178823	3316	4279459584.000000
281474976710655.000000	3.224092	3317	4280518144.000000
281474976710655.000000	3.216889	3318	4281541888.000000
281474976710655.000000	3.192149	3319	4282601472.000000
281474976710655.000000	3.257592	3320	4283624192.000000
281474976710655.000000	3.215816	3321	4284678656.000000
281474976710655.000000	3.270502	3322	4285713152.000000
281474976710655.000000	3.271945	3323	4286758400.000000
281474976710655.000000	3.301751	3324	4287793408.000000
281474976710655.000000	3.261146	3325	4288840960.000000
281474976710655.000000	3.248268	3326	4289878784.000000
281474976710655.000000	3.253658	3327	4290921984.000000
281474976710655.000000	3.272304	3328	4291959040.000000
281474976710655.000000	3.316869	3329	4293007104.000000
281474976710655.000000	3.286829	3330	4294040064.000000
281474976710655.000000	3.347281	3331	4295091200.000000
281474976710655.000000	3.271875	3332	4296122880.000000
281474976710655.000000	3.362243	3333	4297174016.000000
281474976710655.000000	3.325225	3334	4298205184.000000
281474976710655.000000	3.402663	3335	4299254784.000000
281474976710655.000000	3.337164	3336	4300288000.000000
281474976710655.000000	3.406591	3337	4301336064.000000
281474976710655.000000	3.327825	3338	4302372352.000000
281474976710655.000000	3.388270	3339	4303418880.000000
281474976710655.000000	3.351008	3340	4304454144.000000
281474976710655.000000	3.410192	3341	4305500672.000000
281474976710655.000000	3.423087	3342	4306538496.000000
281474976710655.000000	3.418687	3343	4307584000.000000
281474976710655.000000	3.469828	3344	4308618752.000000
281474976710655.000000	3.435070	3345	4309665280.000000
281474976710655.000000	3.514274	3346	4310700032.000000
281474976710655.000000	3.426870	3347	4311750656.000000
281474976710655.000000	3.471011	3348	4312778240.000000
281474976710655.000000	3.448239	3349	4313835520.000000
281474976710655.000000	3.477065	3350	4314860544.000000
281474976710655.000000	3.501610	3351	4315919872.000000
281474976710655.000000	3.468162	3352	4316943872.000000
281474976710655.000000	3.564579	3353	4317998592.000000
281474976710655.000000	3.485295	3354	4319028224.000000
281474976710655.000000	3.544885	3355	4320076800.000000
281474976710655.000000	3.497295	3356	4321114112.000000
281474976710655.000000	3.558495	3357	4322160128.000000
281474976710655.000000	3.550678	3358	4323196416.000000
281474976710655.000000	3.568421	3359	4324242432.000000
281474976710655.000000	3.612322	3360	4325279232.000000
281474976710655.000000	3.569902	3361	4326324736.000000
281474976710655.000000	3.639449	3362	4327358976.000000
281474976710655.000000	3.567939	3363	4328409088.000000
281474976710655.000000	3.631897	3364	4329439744.000000
281474976710655.000000	3.575477	3365	4330492928.000000
281474976710655.000000	3.658939	3366	4331521024.000000
281474976710655.000000	3.610750	3367	4332577792.000000
281474976710655.000000	3.641407	3368	4333601792.000000
281474976710655.000000	3.642739	3369	4334660096.000000
281474976710655.000000	3.645893	3370	4335685120.000000
281474976710655.000000	3.624024	3371	4336741376.000000
281474976710655.000000	3.669812	3372	4337766912.000000
281474976710655.000000	3.660610	3373	4338823168.000000
281474976710655.000000	3.716711	3374	4339850752.000000
281474976710655.000000	3.686834	3375	4340904960.000000
281474976710655.000000	3.738405	3376	4341933568.000000
281474976710655.000000	3.701819	3377	4342987264.000000
281474976710655.000000	3.752014	3378	4344020992.000000
281474976710655.000000	3.763425	3379	4345068032.000000
281474976710655.000000	3.766203	3380	4346103808.000000
