time (s)	coil I (A)	last det (V)	int current (uC)
5348.669816	3.266109	73.242187	-267.285156
5348.671817	3.266526	35.931782	0.490147
5349.712415	3.264685	206.738281	-1.171875
5349.714418	3.266710	206.738281	-1.171875
5349.716416	3.267053	35.937584	0.208601
5350.748966	3.266441	76.757812	-257.714844
5350.750968	3.266523	35.931755	0.210228
5351.793024	3.265004	209.375000	-2.636719
5351.795026	3.266296	209.375000	-2.636719
5351.797026	3.266544	35.931984	0.221443
5352.829058	3.266069	70.996094	-271.777344
5352.831058	3.266724	35.933960	0.233170
5353.871102	3.265798	203.808594	-0.585937
5353.873104	3.266671	203.808594	-0.585937
5353.875105	3.266892	35.935810	0.230417
5354.911148	3.266052	70.312500	-272.167969
5354.913148	3.266447	35.930912	0.234353
5355.957246	3.265903	207.812500	-2.832031
5355.959249	3.266600	35.932606	0.223707
5356.996240	3.266454	72.753906	-262.207031
5356.998241	3.266586	35.932446	0.218842
5358.043223	3.265817	204.003906	-2.050781
5358.045225	3.266439	35.930832	0.210944
5359.079822	3.266294	68.847656	-270.117187
5359.081824	3.266749	35.934235	0.221547
5360.122414	3.266326	205.273437	-3.125000
5360.124415	3.266617	205.273437	-3.125000
5360.126418	3.266633	35.932957	0.231809
5361.151393	3.264091	67.871094	-271.386719
5361.153391	3.266418	67.871094	-271.386719
5361.155392	3.266765	35.934410	0.242361
5362.211460	3.266927	204.785156	-2.832031
5362.213463	3.266955	35.936504	0.224077
5363.243497	3.266386	65.722656	-273.535156
5363.245498	3.266562	65.722656	-273.535156
5363.247498	3.266662	35.933285	0.226410
5364.283519	3.265755	198.339844	-0.976562
5364.285520	3.266857	198.339844	-0.976562
5364.287519	3.267043	35.937469	0.228392
5365.317564	3.265435	70.605469	-260.937500
5365.319567	3.266662	70.605469	-260.937500
5365.321567	3.266863	35.935493	0.236221
5366.375585	3.266414	201.171875	-1.562500
5366.377587	3.266851	35.935360	0.343866
5367.401659	3.266336	70.703125	-260.839844
5367.405659	3.266596	35.932552	0.238758
5368.459674	3.266542	199.804687	-0.781250
5368.461672	3.266677	35.933445	0.231246
5369.486226	3.264022	65.917969	-272.753906
5369.488228	3.266322	65.917969	-272.753906
5369.490226	3.266635	35.932983	0.232308
5370.542760	3.266687	199.707031	-1.171875
5370.544763	3.266800	35.934803	0.219485
5371.565308	3.264970	68.457031	-267.773437
5371.567311	3.266585	68.457031	-267.773437
5371.569312	3.266833	35.935165	0.240564
5372.624267	3.265860	196.093750	-0.292969
5372.626269	3.266761	196.093750	-0.292969
5372.628269	3.266875	35.935627	0.219633
5373.652267	3.265580	65.429687	-277.734375
5373.654268	3.266409	65.429687	-277.734375
5373.656269	3.266633	35.932957	0.226250
5374.704791	3.265588	200.781250	-1.562500
5374.706796	3.266666	200.781250	-1.562500
5374.708793	3.266800	35.934803	0.235591
5375.733740	3.266026	65.039062	-279.785156
5375.735742	3.266571	35.932278	0.248811
5376.789859	3.265663	193.457031	0.781250
5376.791862	3.266469	193.457031	0.781250
5376.793862	3.266679	35.933464	0.219909
5377.815903	3.266711	68.359375	-272.265625
5377.817904	3.266828	35.935112	0.522299
5378.869909	3.266116	193.457031	0.878906
5378.871911	3.266704	35.933739	0.230598
5379.895951	3.266443	65.429687	-282.812500
5379.897951	3.266837	35.935207	0.360553
5380.957976	3.266580	191.308594	1.660156
5380.959978	3.266758	191.308594	1.660156
5380.961977	3.266787	35.934654	0.223400
5381.979984	3.265489	70.117187	-273.046875
5381.985983	3.266432	70.117187	-273.046875
5381.987986	3.266541	35.931950	0.240705
5383.034003	3.263003	191.699219	1.464844
5383.036004	3.266198	191.699219	1.464844
5383.038002	3.266575	35.932327	0.234791
5384.064014	3.266057	64.941406	-285.253906
5384.066015	3.266765	35.934410	0.231760
5385.118046	3.266398	192.285156	0.976562
5385.120049	3.266888	35.935768	0.231439
5386.144022	3.265210	64.941406	-285.937500
5386.146024	3.266767	64.941406	-285.937500
5386.148022	3.266797	35.934769	0.243890
5387.206065	3.266505	188.476562	2.050781
5387.208067	3.266843	35.935272	0.541824
5388.234116	3.266604	65.136719	-285.351562
5388.236119	3.266608	65.136719	-285.351562
5388.238120	3.266617	35.932781	0.233542
5389.286759	3.266480	196.777344	0.097656
5389.290760	3.266632	35.932949	0.230856
5390.313306	3.266754	66.406250	-282.128906
5390.315307	3.266952	35.936466	0.242235
5391.365869	3.263438	194.628906	0.878906
5391.367868	3.266311	194.628906	0.878906
5391.371868	3.266759	35.934349	0.229070
5392.390423	3.265769	63.281250	-289.355469
5392.392424	3.266615	63.281250	-289.355469
5392.394426	3.266813	35.934944	0.244848
5393.450448	3.265312	195.214844	0.878906
5393.452450	3.266649	195.214844	0.878906
5393.454450	3.266844	35.935280	0.227053
5394.479412	3.266091	63.964844	-287.402344
5394.483411	3.266682	35.933498	0.230872
5395.533993	3.265377	193.164062	1.367187
5395.535999	3.266361	193.164062	1.367187
5395.538000	3.266570	35.932270	0.230999
5396.556544	3.264964	61.621094	-291.308594
5396.558547	3.266522	61.621094	-291.308594
5396.560547	3.266750	35.934254	0.246851
5397.616644	3.266347	193.554687	1.757812
5397.618647	3.266583	35.932419	0.226954
5398.641565	3.265776	67.773437	-277.734375
5398.643567	3.265854	67.773437	-277.734375
5398.647566	3.266692	35.933613	0.241160
5399.694104	3.266098	194.726562	1.953125
5399.696106	3.266617	35.932781	0.234005
5400.726224	3.266157	62.597656	-289.453125
5400.728227	3.266462	35.931080	0.368389
5401.780272	3.266686	192.382812	2.734375
5401.782273	3.267049	35.937538	0.231563
5402.810840	3.267110	58.886719	-297.949219
5402.812842	3.267025	35.937275	0.241379
5403.860813	3.265995	191.503906	2.929687
5403.862815	3.266498	35.931480	0.232319
