time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
6088.497271	57.772709	0.035935	1.607718	158
6089.524582	59.109268	0.035938	1.644737	159
6090.577365	60.749065	0.035934	1.690579	160
6091.603269	62.463108	0.035934	1.738259	161
6092.663427	64.233139	0.035933	1.787582	162
6093.693351	55.628483	0.035936	1.547984	163
6094.737975	58.518864	0.035936	1.628441	164
6095.776322	58.326706	0.035938	1.622961	165
6096.824145	57.587006	0.035934	1.602588	166
6097.861228	56.899075	0.035939	1.583211	167
6098.904641	57.973991	0.035935	1.613280	168
6099.934777	59.963608	0.035936	1.668621	169
6100.995429	57.151482	0.035939	1.590250	170
6101.977935	83.317284	0.035937	2.318416	171
6103.073569	58.136284	0.035936	1.617769	172
6104.107615	57.615807	0.035936	1.603277	173
6105.151471	59.149578	0.035933	1.646092	174
6106.191866	58.717999	0.035934	1.634032	175
6107.241596	56.187614	0.035936	1.563538	176
6108.268026	58.966007	0.035938	1.640750	177
6109.327159	58.917076	0.035933	1.639626	178
6110.351910	59.269001	0.035936	1.649282	179
6111.405859	58.098606	0.035934	1.616814	180
6112.436590	59.571377	0.035938	1.657625	181
6113.481385	60.013020	0.035932	1.670185	182
6114.523701	58.938164	0.035934	1.640180	183
6115.571958	57.145603	0.035935	1.590266	184
6116.600314	57.773331	0.035932	1.607845	185
6117.654615	59.166924	0.035936	1.646469	186
6118.677305	61.218769	0.035936	1.703555	187
6119.740347	57.497681	0.035936	1.600022	188
6120.765920	58.782990	0.035933	1.635893	189
6121.818151	57.603981	0.035934	1.603028	190
6122.846954	58.112301	0.035934	1.617197	191
6123.899641	58.464455	0.035937	1.626863	192
6124.934800	57.609455	0.035934	1.603222	193
6125.984442	58.278629	0.035936	1.621724	194
6127.020142	56.509575	0.035935	1.572538	195
6128.062757	59.177895	0.035933	1.646886	196
6129.096707	58.949989	0.035936	1.640411	197
6130.148731	57.146309	0.035933	1.590347	198
6131.182738	56.557140	0.035936	1.573821	199
6132.233309	58.178940	0.035933	1.619092	200
6133.259842	60.480362	0.035935	1.683030	201
6134.312339	60.079952	0.035932	1.672042	202
6135.342527	58.337727	0.035935	1.623430	203
6136.402574	55.468433	0.035934	1.543617	204
6137.425139	58.182213	0.035933	1.619168	205
6138.481127	59.158852	0.035935	1.646273	206
6139.507130	60.602055	0.035935	1.686435	207
6140.561196	57.743710	0.035933	1.606960	208
6141.597813	56.167294	0.035933	1.563090	209
6142.642383	58.521759	0.035933	1.628635	210
6143.680425	58.458237	0.035934	1.626842	211
6144.724968	59.026310	0.035935	1.642587	212
6145.749179	62.683018	0.035937	1.744228	213
6146.811073	58.702755	0.035934	1.633615	214
6147.839104	59.044693	0.035934	1.643132	215
6148.895736	58.300716	0.035935	1.622396	216
6149.920341	59.652233	0.035933	1.660114	217
6150.974344	58.713413	0.035935	1.633901	218
6152.010875	57.836308	0.035933	1.609576	219
6153.054912	58.562119	0.035936	1.629616	220
6154.099366	55.045643	0.035934	1.531839	221
6155.137129	60.708469	0.035932	1.689541	222
6156.172055	59.362648	0.035936	1.651899	223
6157.224367	58.603893	0.035934	1.630889	224
6158.250631	60.039883	0.035938	1.670672	225
6159.310663	55.926830	0.035932	1.556454	226
6160.336605	58.500313	0.035938	1.627816	227
6161.387345	60.515675	0.035937	1.683917	228
6162.417868	60.699554	0.035936	1.689114	229
6163.469832	58.877724	0.035935	1.638448	230
6164.504400	58.245461	0.035936	1.620831	231
